date,aaxj,dfe,eem,efa,efg,efv,eido,epi,epp,ewg,ewj,ewp,ewu,eww,ewx,ewz,ezu,fxi,iefa,ilf,iwd,iwf,iwm,iwn,iwo,iwp,iws,iyr,jnk,schc,spy,tlt,vbk,vt,xlb,xle,xlf,xli,xlk,xlp,xlu,xlv,xly
2014-07-03,64.08,61.25,44.16,69.22,73.4,59.26,26.77,23.19,50.04,31.7,48.72,43.3,42.58,69.15,51.04,47.84,42.94,38.43,63.03,38.6,101.75,22.9675,119.82,103.69,140.34,45.19,72.55,71.55,124.7401,34.78,198.2,110.68,128.47,63.09,25.07,50.195,18.7089,54.75,19.475,45.09,21.25,62.32,34.035
2014-07-07,64.08,60.73,44.13,68.68,72.79,58.71,27.89,23.14,50.05,31.29,48.36,42.56,42.32,68.81,51.19,47.9,42.26,38.35,62.5,38.57,101.36,22.8575,117.77,102.28,137.51,44.775,72.12,71.62,124.6201,34.39,197.51,111.49,126.55,62.69,24.86,49.81,18.6277,54.36,19.495,45.16,21.35,61.85,33.825
2014-07-08,63.73,59.92,43.9325,67.96,72.06,58.16,28.21,22.31,49.88,30.9,48.2,41.75,41.72,68.71,50.76,47.75,41.62,38.15,61.89,38.47,100.88,22.6625,116.34,101.51,135.05,44.27,71.76,71.84,124.5976,34.08,196.24,112.74,124.79,62.19,24.795,49.73,18.4653,53.99,19.32,45.07,21.495,61.27,33.495
2014-07-09,63.86,59.91,44.18,68.18,72.35,58.36,29.35,22.4,49.74,31.05,48.52,42.14,41.74,69.4,50.86,48.46,41.85,37.97,62.07,39.15,101.16,22.775,116.49,101.6,135.41,44.54,72.0,72.0,124.5601,34.04,197.12,112.83,125.08,62.45,24.88,50.06,18.514,54.08,19.415,45.27,21.435,61.53,33.9
2014-07-10,63.61,58.89,43.94,67.43,71.54,57.67,28.88,22.19,49.58,30.6,47.68,41.33,41.44,68.95,50.87,48.58,41.17,37.74,61.3,39.13,100.83,22.6875,115.25,100.58,133.94,44.225,71.76,72.23,124.0801,33.77,196.34,112.86,124.23,62.04,24.77,49.58,18.3922,53.76,19.36,45.2,21.58,61.49,33.585
2014-07-11,63.47,58.88,43.89,67.47,71.55,57.78,28.62,21.7,50.0,30.55,47.76,41.28,41.42,69.08,50.43,48.8,41.17,37.9,61.4,39.27,100.79,22.7325,115.1,100.24,134.03,44.22,71.72,72.28,124.1701,33.659,196.61,113.58,124.09,62.06,24.815,49.2,18.4247,54.07,19.46,45.26,21.415,61.62,33.695
2014-07-14,63.79,59.12,44.23,67.97,72.14,58.13,28.46,21.75,50.2,30.88,48.32,41.41,41.6,69.8,50.6614,49.8,41.43,38.4,61.84,39.96,101.24,22.865,115.69,100.66,134.77,44.435,71.89,72.61,124.2601,33.85,197.6,113.09,124.68,62.43,24.8,49.625,18.5383,54.38,19.6,45.42,21.17,61.82,33.79
2014-07-15,63.825,58.81,44.2,67.8,71.82,58.02,28.35,22.0,49.97,30.66,48.48,41.1,41.68,69.87,50.75,49.72,41.06,38.4,61.68,40.08,101.28,22.7375,114.55,100.0,132.99,44.135,71.85,72.59,124.1401,33.65,197.23,112.86,123.43,62.24,24.75,49.41,18.6683,54.41,19.565,45.02,21.28,61.29,33.675
2014-07-16,63.87,58.88,44.31,68.22,72.2725,58.48,28.82,22.33,50.24,30.95,48.56,41.47,42.0,70.21,51.05,49.51,41.5,38.52,62.05,40.05,101.9,22.775,114.24,99.88,132.52,44.17,72.11,72.86,123.9301,33.823,197.96,113.46,123.38,62.51,24.92,50.16,18.6358,54.64,19.745,45.03,21.35,61.09,33.76
2014-07-17,63.11,58.39,43.48,67.3499,71.49,57.62,28.2,22.04,49.72,30.47,48.24,40.64,41.46,69.55,50.267,48.67,40.74,37.97,61.31,39.48,100.79,22.49,112.48,98.47,130.22,43.62,71.25,72.43,123.0001,33.54,195.71,114.89,121.75,61.74,24.815,49.35,18.3922,53.79,19.49,44.75,21.155,60.42,33.44
