date,divergence_pctl
2015-06-16,0.779
2015-06-17,0.781
2015-06-18,0.783
2015-06-19,0.785
2015-06-22,0.787
2015-06-23,0.79
2015-06-24,0.792
2015-06-25,0.791
2015-06-26,0.794
2015-06-29,0.796
2015-06-30,0.798
2015-07-01,0.8
2015-07-02,0.803
2015-07-06,0.802
2015-07-07,0.805
2015-07-08,0.807
2015-07-09,0.809
2015-07-10,0.81
2015-07-13,0.809
2015-07-14,0.809
2015-07-15,0.808
2015-07-16,0.808
2015-07-17,0.807
2015-07-20,0.809
2015-07-21,0.812
2015-07-22,0.811
2015-07-23,0.814
2015-07-24,0.816
2015-07-27,0.819
2015-07-28,0.821
2015-07-29,0.824
2015-07-30,0.826
2015-07-31,0.829
2015-08-03,0.831
2015-08-04,0.834
2015-08-05,0.836
2015-08-06,0.839
2015-08-07,0.841
2015-08-10,0.844
2015-08-11,0.847
2015-08-12,0.849
2015-08-13,0.852
2015-08-14,0.855
2015-08-17,0.857
2015-08-18,0.86
2015-08-19,0.863
2015-08-20,0.866
2015-08-21,0.868
2015-08-24,0.871
2015-08-25,0.874
2015-08-26,0.877
2015-08-27,0.88
2015-08-28,0.879
2015-08-31,0.879
2015-09-01,0.879
2015-09-02,0.878
2015-09-03,0.878
2015-09-04,0.877
2015-09-08,0.877
2015-09-09,0.877
2015-09-10,0.876
2015-09-11,0.876
2015-09-14,0.875
2015-09-15,0.875
2015-09-16,0.874
2015-09-17,0.874
2015-09-18,0.874
2015-09-21,0.873
2015-09-22,0.873
2015-09-23,0.872
2015-09-24,0.872
2015-09-25,0.871
2015-09-28,0.871
2015-09-29,0.871
2015-09-30,0.87
2015-10-01,0.87
2015-10-02,0.869
2015-10-05,0.869
2015-10-06,0.868
2015-10-07,0.868
2015-10-08,0.867
2015-10-09,0.867
2015-10-12,0.866
2015-10-13,0.866
2015-10-14,0.865
2015-10-15,0.865
2015-10-16,0.864
2015-10-19,0.864
2015-10-20,0.863
2015-10-21,0.863
2015-10-22,0.862
2015-10-23,0.862
2015-10-26,0.861
2015-10-27,0.861
2015-10-28,0.86
2015-10-29,0.86
2015-10-30,0.859
2015-11-02,0.859
2015-11-03,0.858
2015-11-04,0.858
2015-11-05,0.857
2015-11-06,0.857
2015-11-09,0.856
2015-11-10,0.855
2015-11-11,0.855
2015-11-12,0.854
2015-11-13,0.854
2015-11-16,0.853
2015-11-17,0.853
2015-11-18,0.852
2015-11-19,0.851
2015-11-20,0.851
2015-11-23,0.85
2015-11-24,0.85
2015-11-25,0.849
2015-11-27,0.848
2015-11-30,0.848
2015-12-01,0.847
2015-12-02,0.846
2015-12-03,0.846
2015-12-04,0.845
2015-12-07,0.845
2015-12-08,0.844
2015-12-09,0.843
2015-12-10,0.843
2015-12-11,0.842
2015-12-14,0.841
2015-12-15,0.841
2015-12-16,0.84
2015-12-17,0.839
2015-12-18,0.838
2015-12-21,0.838
2015-12-22,0.837
2015-12-23,0.836
2015-12-24,0.836
2015-12-28,0.835
2015-12-29,0.834
2015-12-30,0.833
2015-12-31,0.833
2016-01-04,0.832
2016-01-05,0.831
2016-01-06,0.83
2016-01-07,0.83
2016-01-08,0.829
2016-01-11,0.828
2016-01-12,0.827
2016-01-13,0.826
2016-01-14,0.826
2016-01-15,0.825
2016-01-19,0.824
2016-01-20,0.823
2016-01-21,0.822
2016-01-22,0.821
2016-01-25,0.82
2016-01-26,0.82
2016-01-27,0.819
2016-01-28,0.818
2016-01-29,0.817
2016-02-01,0.816
2016-02-02,0.815
2016-02-03,0.814
2016-02-04,0.813
2016-02-05,0.812
2016-02-08,0.811
2016-02-09,0.81
2016-02-10,0.809
2016-02-11,0.808
2016-02-12,0.813
2016-02-16,0.817
2016-02-17,0.821
2016-02-18,0.82
2016-02-19,0.824
2016-02-22,0.829
2016-02-23,0.833
2016-02-24,0.838
2016-02-25,0.842
2016-02-26,0.847
2016-02-29,0.851
2016-03-01,0.856
2016-03-02,0.861
2016-03-03,0.866
2016-03-04,0.871
2016-03-07,0.875
2016-03-08,0.875
2016-03-09,0.88
2016-03-10,0.885
2016-03-11,0.65
2016-03-14,0.743
2016-03-15,0.888
2016-03-16,0.878
2016-03-17,0.757
2016-03-18,0.675
2016-03-21,0.645
2016-03-22,0.606
2016-03-23,0.881
2016-03-24,0.7346
2016-03-28,0.852
2016-03-29,0.796
2016-03-30,0.676
2016-03-31,0.643
2016-04-01,0.955
2016-04-04,0.97
2016-04-05,0.975
2016-04-06,0.965
2016-04-07,0.995
2016-04-08,0.956
2016-04-11,0.946
2016-04-12,0.922
2016-04-13,0.75
2016-04-14,0.564
2016-04-15,0.614
2016-04-18,0.549
2016-04-19,0.49
2016-04-20,0.436
2016-04-21,0.481
2016-04-22,0.516
2016-04-25,0.555
2016-04-26,0.483
2016-04-27,0.426
2016-04-28,0.406
2016-04-29,0.486
2016-05-02,0.484
2016-05-03,0.603
2016-05-04,0.623
2016-05-05,0.477
2016-05-06,0.417
2016-05-09,0.575
2016-05-10,0.581
2016-05-11,0.57
2016-05-12,0.602
2016-05-13,0.595
2016-05-16,0.506
2016-05-17,0.478
2016-05-18,0.416
2016-05-19,0.482
2016-05-20,0.374
2016-05-23,0.394
2016-05-24,0.303
2016-05-25,0.113
2016-05-26,0.163
2016-05-27,0.2
2016-05-31,0.153
2016-06-01,0.214
2016-06-02,0.127
2016-06-03,0.25
2016-06-06,0.228
2016-06-07,0.138
2016-06-08,0.153
2016-06-09,0.391
2016-06-10,0.393
2016-06-13,0.388
2016-06-14,0.418
2016-06-15,0.388
2016-06-16,0.347
2016-06-17,0.22
2016-06-20,0.082
2016-06-21,0.046
2016-06-22,0.05
2016-06-23,0.003
2016-06-24,0.096
2016-06-27,0.188
2016-06-28,0.233
2016-06-29,0.232
2016-06-30,0.307
2016-07-01,0.272
2016-07-05,0.377
2016-07-06,0.357
2016-07-07,0.292
2016-07-08,0.369
2016-07-11,0.356
2016-07-12,0.288
2016-07-13,0.287
2016-07-14,0.22
2016-07-15,0.252
2016-07-18,0.244
2016-07-19,0.28
2016-07-20,0.13
2016-07-21,0.122
2016-07-22,0.115
2016-07-25,0.111
2016-07-26,0.067
2016-07-27,0.024
2016-07-28,0.053
2016-07-29,0.042
2016-08-01,0.098
2016-08-02,0.077
2016-08-03,0.073
2016-08-04,0.073
2016-08-05,0.038
2016-08-08,0.044
2016-08-09,0.041
2016-08-10,0.037
2016-08-11,0.0
2016-08-12,0.003
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.003
2016-08-18,0.0
2016-08-19,0.006
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.006
2016-08-25,0.013
2016-08-26,0.0
2016-08-29,0.019
2016-08-30,0.006
2016-08-31,0.009
2016-09-01,0.0
2016-09-02,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.006
2016-09-09,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.003
2016-09-19,0.009
2016-09-20,0.012
2016-09-21,0.003
2016-09-22,0.003
2016-09-23,0.009
2016-09-26,0.024
2016-09-27,0.006
2016-09-28,0.018
2016-09-29,0.003
2016-09-30,0.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.003
2016-10-06,0.0
2016-10-07,0.009
2016-10-10,0.012
2016-10-11,0.014
2016-10-12,0.017
2016-10-13,0.02
2016-10-14,0.026
2016-10-17,0.035
2016-10-18,0.038
2016-10-19,0.035
2016-10-20,0.046
2016-10-21,0.049
2016-10-24,0.075
2016-10-25,0.093
2016-10-26,0.089
2016-10-27,0.098
2016-10-28,0.109
2016-10-31,0.114
2016-11-01,0.111
2016-11-02,0.102
2016-11-03,0.105
2016-11-04,0.122
2016-11-07,0.116
2016-11-08,0.124
2016-11-09,0.087
2016-11-10,0.103
2016-11-11,0.128
2016-11-14,0.148
2016-11-15,0.172
2016-11-16,0.177
2016-11-17,0.18
2016-11-18,0.187
2016-11-21,0.195
2016-11-22,0.197
2016-11-23,0.202
2016-11-25,0.196
2016-11-28,0.188
2016-11-29,0.171
2016-11-30,0.2
2016-12-01,0.205
2016-12-02,0.191
2016-12-05,0.201
2016-12-06,0.222
2016-12-07,0.237
2016-12-08,0.296
2016-12-09,0.319
2016-12-12,0.267
2016-12-13,0.224
2016-12-14,0.226
2016-12-15,0.236
2016-12-16,0.236
2016-12-19,0.238
2016-12-20,0.287
2016-12-21,0.276
2016-12-22,0.236
2016-12-23,0.209
2016-12-27,0.235
2016-12-28,0.185
2016-12-29,0.169
2016-12-30,0.138
2017-01-03,0.143
2017-01-04,0.158
2017-01-05,0.122
2017-01-06,0.137
2017-01-09,0.101
2017-01-10,0.121
2017-01-11,0.143
2017-01-12,0.138
2017-01-13,0.135
2017-01-17,0.077
2017-01-18,0.087
2017-01-19,0.092
2017-01-20,0.131
2017-01-23,0.153
2017-01-24,0.165
2017-01-25,0.172
2017-01-26,0.213
2017-01-27,0.196
2017-01-30,0.168
2017-01-31,0.129
2017-02-01,0.197
2017-02-02,0.165
2017-02-03,0.21
2017-02-06,0.217
2017-02-07,0.156
2017-02-08,0.115
2017-02-09,0.127
2017-02-10,0.102
2017-02-13,0.138
2017-02-14,0.171
2017-02-15,0.218
2017-02-16,0.177
2017-02-17,0.198
2017-02-21,0.252
2017-02-22,0.282
2017-02-23,0.255
2017-02-24,0.234
2017-02-27,0.24
2017-02-28,0.24
2017-03-01,0.302
2017-03-02,0.264
2017-03-03,0.277
2017-03-06,0.29
2017-03-07,0.324
2017-03-08,0.358
2017-03-09,0.387
2017-03-10,0.379
2017-03-13,0.406
2017-03-14,0.419
2017-03-15,0.44
2017-03-16,0.446
2017-03-17,0.441
2017-03-20,0.446
2017-03-21,0.418
2017-03-22,0.417
2017-03-23,0.421
2017-03-24,0.409
2017-03-27,0.392
2017-03-28,0.38
2017-03-29,0.38
2017-03-30,0.368
2017-03-31,0.369
2017-04-03,0.388
2017-04-04,0.381
2017-04-05,0.329
2017-04-06,0.28
2017-04-07,0.271
2017-04-10,0.255
2017-04-11,0.263
2017-04-12,0.286
2017-04-13,0.288
2017-04-17,0.292
2017-04-18,0.274
2017-04-19,0.25
2017-04-20,0.281
2017-04-21,0.278
2017-04-24,0.357
2017-04-25,0.356
2017-04-26,0.413
2017-04-27,0.457
2017-04-28,0.484
2017-05-01,0.561
2017-05-02,0.649
2017-05-03,0.641
2017-05-04,0.698
2017-05-05,0.693
2017-05-08,0.677
2017-05-09,0.728
2017-05-10,0.716
2017-05-11,0.658
2017-05-12,0.69
2017-05-15,0.674
2017-05-16,0.718
2017-05-17,0.617
2017-05-18,0.635
2017-05-19,0.586
2017-05-22,0.601
2017-05-23,0.608
2017-05-24,0.578
2017-05-25,0.583
2017-05-26,0.543
2017-05-30,0.558
2017-05-31,0.565
2017-06-01,0.609
2017-06-02,0.648
2017-06-05,0.645
2017-06-06,0.583
2017-06-07,0.55
2017-06-08,0.615
2017-06-09,0.492
2017-06-12,0.391
2017-06-13,0.376
2017-06-14,0.353
2017-06-15,0.295
2017-06-16,0.32
2017-06-19,0.395
2017-06-20,0.376
2017-06-21,0.401
2017-06-22,0.379
2017-06-23,0.368
2017-06-26,0.317
2017-06-27,0.328
2017-06-28,0.352
2017-06-29,0.352
2017-06-30,0.368
2017-07-03,0.319
2017-07-05,0.303
2017-07-06,0.305
2017-07-07,0.352
2017-07-10,0.363
2017-07-11,0.389
2017-07-12,0.4
2017-07-13,0.393
2017-07-14,0.404
2017-07-17,0.379
2017-07-18,0.38
2017-07-19,0.423
2017-07-20,0.448
2017-07-21,0.451
2017-07-24,0.479
2017-07-25,0.465
2017-07-26,0.501
2017-07-27,0.493
2017-07-28,0.485
2017-07-31,0.489
2017-08-01,0.608
2017-08-02,0.62
2017-08-03,0.57
2017-08-04,0.591
2017-08-07,0.642
2017-08-08,0.641
2017-08-09,0.669
2017-08-10,0.679
2017-08-11,0.691
2017-08-14,0.702
2017-08-15,0.721
2017-08-16,0.731
2017-08-17,0.739
2017-08-18,0.732
2017-08-21,0.76
2017-08-22,0.767
2017-08-23,0.755
2017-08-24,0.732
2017-08-25,0.712
2017-08-28,0.704
2017-08-29,0.697
2017-08-30,0.685
2017-08-31,0.702
2017-09-01,0.719
2017-09-05,0.7
2017-09-06,0.693
2017-09-07,0.791
2017-09-08,0.774
2017-09-11,0.789
2017-09-12,0.792
2017-09-13,0.78
2017-09-14,0.795
2017-09-15,0.866
2017-09-18,0.859
2017-09-19,0.871
2017-09-20,0.805
2017-09-21,0.811
2017-09-22,0.806
2017-09-25,0.703
2017-09-26,0.725
2017-09-27,0.703
2017-09-28,0.727
2017-09-29,0.742
2017-10-02,0.789
2017-10-03,0.798
2017-10-04,0.82
2017-10-05,0.8
2017-10-06,0.833
2017-10-09,0.823
2017-10-10,0.926
2017-10-11,0.957
2017-10-12,0.972
2017-10-13,0.977
2017-10-16,0.976
2017-10-17,0.967
2017-10-18,0.983
2017-10-19,0.959
2017-10-20,0.967
2017-10-23,0.969
2017-10-24,0.979
2017-10-25,0.993
2017-10-26,0.994
2017-10-27,0.998
